Be happy for this moment. This moment is your life| Omar Khayyam|1
Very little is needed to make a happy life; it is all within yourself, in your way of thinking.|Marcus Aurelius|1
The art of being happy lies in the power of extracting happiness from common things.|Henry Ward Beecher|1
Most folks are about as happy as they make up their minds to be.|Abraham Lincoln|1
Each morning when I open my eyes I say to myself: I, not events, have the power to make me happy or unhappy today. I can choose which it shall be. Yesterday is dead, tomorrow hasn't arrived yet. I have just one day, today, and I'm going to be happy in it.  |Groucho Marx|1
The best way to cheer yourself up is to try to cheer somebody else up.|Mark Twain|1
The foolish man seeks happiness in the distance, the wise grows it under his feet.|J. Robert Oppenheimer|1
Happy people are those who use a lower threshold in order to label an event positive.|David Niven|1
The habit of being happy enables one to be freed, or largely freed, from the domination of outward conditions.|Robert Louis Stevenson|1
Happiness is a state of activity.|Aristotle|1
Courage is knowing what not to fear.|Plato|101
Only when we are no longer afraid do we begin to live|Dorothy Thompson|101
There is no illusion greater than fear.|Lao Tzu|101
To escape fear, you have to go through it, not around.|Richie Norton|101
I have to face the fear. I have to take control of the situation and find a way to make it less frightening.|Veronica Roth, Divergent|101
Men are not afraid of things, but of how they view them.|Epictetus|101
One challenge at a time, I try to turn into the face of fear and tell it “you are not my master, you are the product of my self and I am your master.” I look into the monster’s eyes until it disappears. Then I am free.|Anonymous (1996-1980)|101
The medicine to fear, these days, is a dose of reality! Because these days the reality is far worse than the disembodiment of the ideal. People today are afraid of the disembodiment of the ideal, because they think the ideal is the reality. A rabbit that does not know it lives in the ground with snakes, is constantly afraid of the sea hawk possibly finding its way to land, to destroy the rabbit’s meadowy existence. In the meadow, living in fear of the sea hawk, not knowing the hole in the ground next to its burrow belongs to a snake. I show the rabbit where the snakes are, thus eliminating its hazardous fear. Misplaced fear is hazardous fear. Fear well placed is a skill for survival.|C. JoyBell C.|101
Fear echoes your self-defined limitations, not your actual ones. To change your self-image, you must face what scares you.|Vironika Tugaleva|101
Fear is only as deep as the mind allows.|Japanese Proverb|101
Reflect upon your present blessings of which every man has many - not on your past misfortunes, of which all men have some|Charles Dickens|201
TA pearl is a beautiful thing that is produced by an injured life. It is the tear [that results] from the injury of the oyster. The treasure of our being in this world is also produced by an injured life. If we had not been wounded, if we had not been injured, then we will not produce the pearl. |Stephan Hoeller|201
Ring the bells that still can ring. Forget your perfect offering. There is a crack, a crack in everything. That's how the light gets in|Leonardo Cohen|201
I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow, but through it all I still know that just to be alive is a grand thing.|Agatha Christie|201
Although the world is full of suffering, it is also full of the overcoming of it.|Helen Keller|201
Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!|Dita Von Teese|201
Sadness is but a wall between two gardens.|Khalil Jibran|201
When I first went to places where people were suffering from war and persecution, I felt ashamed of my feelings of sadness. I could see more possibilities in my life|Angelina Jolie|201
I do believe that if you haven't learnt about sadness, you cannot appreciate happiness.|Nana Mouskouri|201
First, accept sadness. Realize that without losing, winning isn't so great.|Alyssa Milano|201
There are dark shadows on the earth, but its lights are stronger in the contrast.|Charles Dickens|301
This is 2nd random quote with no meaning from category disgust|Anonymous (1991-1980)|301
This is 3rd random quote with no meaning from category disgust|Anonymous (1992-1980)|301
This is 4th random quote with no meaning from category disgust|Anonymous (1993-1980)|301
This is 5th random quote with no meaning from category disgust|Anonymous (1994-1980)|301
This is 6th random quote with no meaning from category disgust|Anonymous (1995-1980)|301
This is 7th random quote with no meaning from category disgust|Anonymous (1996-1980)|301
This is 8th random quote with no meaning from category disgust|Anonymous (1997-1980)|301
This is 9th random quote with no meaning from category disgust|Anonymous (1998-1980)|301
This is 10th random quote with no meaning from category disgust|Anonymous (1999-1980)|301
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.|Mark Twain|401
When anger rises, think of the consequences.|Confucius|401
It is impossible for you to be angry and laugh at the same time. Anger and laughter are mutually exclusive and you have the power to choose either.|Wayne Dyer|401
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.|Maya Angelou|401
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.|Buddha|401
To be angry is to revenge the faults of others on ourselves.|Alexander Pope|401
Speak when you are angry - and you'll make the best speech you'll ever regret.|Laurence J. Peter|401
Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose and in the right way - that is not within everybody's power and is not easy.|Aristotle|401
For every minute you remain angry, you give up sixty seconds of peace of mind.|Ralph Waldo Emerson|401
You will not be punished for your anger, you will be punished by your anger.|Buddha|401
Happiness is not a goal; it is a by-product.|Eleanor Roosevelt|1
Happiness is a perfume you cannot pour on others without getting some on yourself.|Ralph Waldo Emerson|1
Happiness is not a station you arrive at, but a manner of traveling.|Margaret Lee Runbeck|1
True happiness is not attained through self-gratification, but through fidelity to a worthy purpose. |Helen Keller|1
The word 'happy' would lose its meaning if it were not balanced by sadness.|Carl Jung|201
Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.|Walter Anderson|201
